"filename", "language", "XML", "Java", "Java Properties", "JavaScript", "comment", "blank", "total"
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiAuthController.class", "Java", 0, 14, 0, 0, 0, 0, 14
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiExceptionHandler.class", "Java", 0, 51, 0, 0, 0, 0, 51
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AttendanceViewController.class", "Java", 0, 11, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AuthController.class", "Java", 0, 24, 0, 0, 0, 0, 24
"f:\Coding\studentmanagement\target\classes\com\sms\controller\CampusLocationWebSocketController.class", "Java", 0, -14, 0, 0, 0, 0, -14
"f:\Coding\studentmanagement\target\classes\com\sms\controller\CampusTrackingController.class", "Java", 0, 1, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class", "Java", 0, 17, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DigitalIDApi.class", "Java", 0, 74, 0, 0, 0, 1, 75
"f:\Coding\studentmanagement\target\classes\com\sms\controller\PortalController.class", "Java", 0, 17, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentAttendanceController.class", "Java", 0, 198, 0, 0, 0, 1, 199
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentController.class", "Java", 0, 12, 0, 0, 0, 0, 12
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentProfileApiController.class", "Java", 0, 14, 0, 0, 0, 0, 14
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentViewController.class", "Java", 0, 8, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherApiController.class", "Java", 0, 34, 0, 0, 0, 0, 34
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherAttendanceController.class", "Java", 0, 133, 0, 0, 0, 1, 134
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherController.class", "Java", 0, 8, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherFraudController.class", "Java", 0, 1, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\AttendanceQRResponse.class", "Java", 0, 25, 0, 0, 0, 0, 25
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\FaceRegistrationRequest.class", "Java", 0, 2, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\FraudAlertDTO.class", "Java", 0, 4, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\GenerateAttendanceQRRequest.class", "Java", 0, 26, 0, 0, 0, 0, 26
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\ManualAttendanceRequest$StudentAttendanceRecord.class", "Java", 0, 18, 0, 0, 0, 0, 18
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\ManualAttendanceRequest.class", "Java", 0, 16, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\MarkAttendanceRequest.class", "Java", 0, 34, 0, 0, 0, 0, 34
"f:\Coding\studentmanagement\target\classes\com\sms\dto\attendance\MarkAttendanceResponse.class", "Java", 0, 34, 0, 0, 0, 0, 34
"f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginRequest.class", "Java", 0, 14, 0, 0, 0, 0, 14
"f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginResponse.class", "Java", 0, 9, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\target\classes\com\sms\dto\campus\CampusLocationUpdateDTO.class", "Java", 0, 10, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\com\sms\dto\campus\LocationDTO.class", "Java", 0, 5, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\AssignTeacherRequest.class", "Java", 0, 14, 0, 0, 0, 0, 14
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ClassDTO.class", "Java", 0, 23, 0, 0, 0, 0, 23
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CourseProgressDto.class", "Java", 0, 27, 0, 0, 0, 0, 27
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateSubjectRequest.class", "Java", 0, 21, 0, 0, 0, 0, 21
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateTaskRequest.class", "Java", 0, 15, 0, 0, 0, 0, 15
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardDTO.class", "Java", 0, 22, 0, 0, 0, 0, 22
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardResponse.class", "Java", 0, 22, 0, 0, 0, 0, 22
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\EnrollStudentRequest.class", "Java", 0, 11, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ScheduleClassRequest.class", "Java", 0, 16, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\StudentProgressViewDto.class", "Java", 0, 10, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\SubjectDTO.class", "Java", 0, 21, 0, 0, 0, 0, 21
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\TaskDto.class", "Java", 0, 18, 0, 0, 0, 0, 18
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\UpcomingClassDto.class", "Java", 0, 22, 0, 0, 0, 0, 22
"f:\Coding\studentmanagement\target\classes\com\sms\dto\identity\DigitalIDCardDTO.class", "Java", 0, 16, 0, 0, 6, 0, 22
"f:\Coding\studentmanagement\target\classes\com\sms\dto\identity\VerificationResponseDTO.class", "Java", 0, 23, 0, 0, 0, 0, 23
"f:\Coding\studentmanagement\target\classes\com\sms\dto\profile\AcademicRecordDTO.class", "Java", 0, 5, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\profile\AdminUpdateStudentProfileRequest.class", "Java", 0, 5, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\profile\StudentDocumentDTO.class", "Java", 0, 3, 0, 0, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\dto\profile\StudentProfileResponseDTO.class", "Java", 0, 4, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\dto\student\StudentProfileDTO.class", "Java", 0, 33, 0, 0, 0, 0, 33
"f:\Coding\studentmanagement\target\classes\com\sms\model\AcademicRecord.class", "Java", 0, 2, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\model\Admin.class", "Java", 0, 10, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\com\sms\model\AnalyticsSnapshot.class", "Java", 0, 25, 0, 0, 0, 0, 25
"f:\Coding\studentmanagement\target\classes\com\sms\model\Attendance.class", "Java", 0, 48, 0, 0, 0, 0, 48
"f:\Coding\studentmanagement\target\classes\com\sms\model\CampusLocation.class", "Java", 0, 22, 0, 0, 0, 0, 22
"f:\Coding\studentmanagement\target\classes\com\sms\model\ClassSession.class", "Java", 0, 15, 0, 0, 0, 0, 15
"f:\Coding\studentmanagement\target\classes\com\sms\model\Course.class", "Java", 0, 17, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\com\sms\model\Enrollment.class", "Java", 0, 13, 0, 0, 0, 3, 16
"f:\Coding\studentmanagement\target\classes\com\sms\model\FaceData.class", "Java", 0, 1, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\FraudLog.class", "Java", 0, 3, 0, 0, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\model\LoginUser.class", "Java", 0, 10, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\com\sms\model\Person.class", "Java", 0, 7, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\model\Role.class", "Java", 0, 16, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\model\SecurityAudit.class", "Java", 0, 23, 0, 0, 0, 0, 23
"f:\Coding\studentmanagement\target\classes\com\sms\model\Student.class", "Java", 0, 44, 0, 0, 0, 0, 44
"f:\Coding\studentmanagement\target\classes\com\sms\model\StudentDocument.class", "Java", 0, 3, 0, 0, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\model\StudentLocation.class", "Java", 0, 1, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\StudentProfile.class", "Java", 0, 25, 0, 0, 0, 0, 25
"f:\Coding\studentmanagement\target\classes\com\sms\model\StudentTask.class", "Java", 0, 12, 0, 0, 0, 0, 12
"f:\Coding\studentmanagement\target\classes\com\sms\model\TaskItem.class", "Java", 0, 13, 0, 0, 0, 0, 13
"f:\Coding\studentmanagement\target\classes\com\sms\model\TaskStatus.class", "Java", 0, 12, 0, 0, 0, 0, 12
"f:\Coding\studentmanagement\target\classes\com\sms\model\Teacher.class", "Java", 0, 7, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\model\User.class", "Java", 0, 6, 0, 0, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\model\UserRole.class", "Java", 0, 17, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\com\sms\repository\AnalyticsSnapshotRepository.class", "Java", 0, 5, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\repository\AttendanceRepository.class", "Java", 0, 17, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\com\sms\repository\CampusLocationRepository.class", "Java", 0, 6, 0, 0, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\repository\ClassSessionRepository.class", "Java", 0, 4, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\repository\CourseRepository.class", "Java", 0, 5, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\repository\EnrollmentRepository.class", "Java", 0, 4, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\repository\FaceDataRepository.class", "Java", 0, -1, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\repository\FraudLogRepository.class", "Java", 0, -2, 0, 0, 0, 0, -2
"f:\Coding\studentmanagement\target\classes\com\sms\repository\SecurityAuditRepository.class", "Java", 0, 8, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\repository\StudentLocationRepository.class", "Java", 0, -1, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\repository\StudentRepository.class", "Java", 0, 4, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\repository\StudentTaskRepository.class", "Java", 0, 7, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\repository\TaskItemRepository.class", "Java", 0, 4, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\repository\TeacherRepository.class", "Java", 0, 4, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\repository\UserRepository.class", "Java", 0, 4, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\service\AiAnalyticsService.class", "Java", 0, 24, 0, 0, 0, -1, 23
"f:\Coding\studentmanagement\target\classes\com\sms\service\AnalyticsCacheService.class", "Java", 0, 12, 0, 0, 0, 0, 12
"f:\Coding\studentmanagement\target\classes\com\sms\service\AnalyticsReportService.class", "Java", 0, 141, 0, 0, 0, 3, 144
"f:\Coding\studentmanagement\target\classes\com\sms\service\AnalyticsSnapshotScheduler.class", "Java", 0, 7, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\service\AnalyticsSnapshotService.class", "Java", 0, 19, 0, 0, 0, 0, 19
"f:\Coding\studentmanagement\target\classes\com\sms\service\AntiCheatingService$ImpossibleMovementResult.class", "Java", 0, 7, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\service\AntiCheatingService$LocationTimestamp.class", "Java", 0, 9, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\target\classes\com\sms\service\AntiCheatingService$VPNDetectionResult.class", "Java", 0, 7, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\service\AntiCheatingService.class", "Java", 0, 100, 0, 0, 0, 0, 100
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceQRTokenService$AttendanceTokenClaims.class", "Java", 0, 10, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceQRTokenService.class", "Java", 0, 66, 0, 0, 0, 0, 66
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService$AttendanceStats.class", "Java", 0, 11, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService$ManualAttendanceRecord.class", "Java", 0, 8, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService.class", "Java", 0, 76, 0, 0, 0, 1, 77
"f:\Coding\studentmanagement\target\classes\com\sms\service\AuthenticationService.class", "Java", 0, 16, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\service\CampusTrackingService.class", "Java", 0, -4, 0, 0, 0, 0, -4
"f:\Coding\studentmanagement\target\classes\com\sms\service\CourseService.class", "Java", 0, 5, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\service\CustomUserDetailsService.class", "Java", 0, 24, 0, 0, 0, 0, 24
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 0, 275, 0, 0, 0, 0, 275
"f:\Coding\studentmanagement\target\classes\com\sms\service\FaceVerificationService$FaceVerificationResult.class", "Java", 0, 2, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\service\FileService.class", "Java", 0, 28, 0, 0, 0, 0, 28
"f:\Coding\studentmanagement\target\classes\com\sms\service\FraudDetectionService$FraudAssessment.class", "Java", 0, 2, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\service\FraudDetectionService$FraudSummary.class", "Java", 0, -1, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\service\FraudDetectionService.class", "Java", 0, -5, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\service\GeolocationService.class", "Java", 0, 45, 0, 0, 0, 0, 45
"f:\Coding\studentmanagement\target\classes\com\sms\service\JwtService.class", "Java", 0, 29, 0, 0, 0, 0, 29
"f:\Coding\studentmanagement\target\classes\com\sms\service\QRService$IDTokenClaims.class", "Java", 0, 16, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\service\QRService.class", "Java", 0, 38, 0, 0, 0, 0, 38
"f:\Coding\studentmanagement\target\classes\com\sms\service\StudentProfileService.class", "Java", 0, 2, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\service\StudentService.class", "Java", 0, 169, 0, 0, 0, 0, 169
"f:\Coding\studentmanagement\target\classes\com\sms\service\TeacherService.class", "Java", 0, 5, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\service\UserService.class", "Java", 0, 5, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\util\CustomException.class", "Java", 0, 6, 0, 0, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\util\GradeUtil.class", "Java", 0, 9, 0, 0, 0, 3, 12
"f:\Coding\studentmanagement\target\classes\com\sms\util\InputValidator.class", "Java", 0, 17, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\com\sms\util\LoggerUtil.class", "Java", 0, 21, 0, 0, 0, 0, 21
"f:\Coding\studentmanagement\target\classes\com\sms\util\StudentComparators.class", "Java", 0, 12, 0, 0, 0, 0, 12
"f:\Coding\studentmanagement\target\classes\static\js\ai-insights.js", "JavaScript", 0, 0, 0, 26, 0, 2, 28
"f:\Coding\studentmanagement\target\test-classes\com\sms\controller\DashboardControllerTest.class", "Java", 0, 40, 0, 0, 0, 0, 40
"f:\Coding\studentmanagement\target\test-classes\com\sms\service\DashboardServiceTest.class", "Java", 0, 27, 0, 0, 0, 0, 27
"Total", "-", 9, 3775, 30, 52, 84, 130, 4080
