"filename", "language", "HTML", "Java", "XML", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\TaskItemRepository.java", "Java", 0, 1, 0, 0, 1, 2
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\TeacherRepository.java", "Java", 0, 2, 0, 0, 2, 4
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DashboardService.java", "Java", 0, 133, 0, 0, 26, 159
"f:\Coding\studentmanagement\src\main\resources\templates\student-dashboard.html", "HTML", 157, 0, 0, 0, 31, 188
"f:\Coding\studentmanagement\src\test\java\com\sms\controller\DashboardControllerTest.java", "Java", 0, 51, 0, 0, 8, 59
"f:\Coding\studentmanagement\src\test\java\com\sms\service\DashboardServiceTest.java", "Java", 0, 9, 0, 0, 2, 11
"f:\Coding\studentmanagement\target\classes\com\sms\config\SecurityConfig.class", "Java", 0, 0, 0, -1, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\config\WebSocketConfig.class", "Java", 0, 3, 0, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminApiController.class", "Java", 0, 31, 0, 0, 0, 31
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiExceptionHandler.class", "Java", 0, 34, 0, 0, 0, 34
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class", "Java", 0, -3, 0, 0, 0, -3
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherApiController.class", "Java", 0, 33, 0, 0, 0, 33
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\AssignTeacherRequest.class", "Java", 0, 8, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateSubjectRequest.class", "Java", 0, 19, 0, 0, 0, 19
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\CreateTaskRequest.class", "Java", 0, 10, 0, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\EnrollStudentRequest.class", "Java", 0, 8, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ScheduleClassRequest.class", "Java", 0, 11, 0, 0, 0, 11
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\StudentProgressViewDto.class", "Java", 0, 10, 0, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\com\sms\model\Enrollment.class", "Java", 0, 0, 0, 0, 3, 3
"f:\Coding\studentmanagement\target\classes\com\sms\model\Student.class", "Java", 0, 2, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\model\StudentTask.class", "Java", 0, 13, 0, 0, 0, 13
"f:\Coding\studentmanagement\target\classes\com\sms\model\TaskItem.class", "Java", 0, -6, 0, 0, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\model\Teacher.class", "Java", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\model\User.class", "Java", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\repository\EnrollmentRepository.class", "Java", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\repository\StudentTaskRepository.class", "Java", 0, 7, 0, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\service\CustomUserDetailsService.class", "Java", 0, -1, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 0, 71, 0, 0, 0, 71
"f:\Coding\studentmanagement\target\classes\templates\student-dashboard.html", "HTML", 157, 0, 0, 0, 31, 188
"f:\Coding\studentmanagement\target\surefire-reports\TEST-com.sms.controller.DashboardControllerTest.xml", "XML", 0, 0, 41, 0, 0, 41
"f:\Coding\studentmanagement\target\surefire-reports\TEST-com.sms.service.DashboardServiceTest.xml", "XML", 0, 0, 19, 0, 0, 19
"f:\Coding\studentmanagement\target\test-classes\com\sms\controller\DashboardControllerTest.class", "Java", 0, 6, 0, 0, 0, 6
"f:\Coding\studentmanagement\target\test-classes\com\sms\service\DashboardServiceTest.class", "Java", 0, -1, 0, 0, 0, -1
"Total", "-", 314, 891, 60, -1, 241, 1505
